sheet,so_coc,duong_kinh_raw,do_sau_muc_tieu_raw,khoan_sau_raw,cd_dinh_file,llv_file,vx_file,vl_file
A15-18-PK34,1518,1800mm,13.66m,13.68m,10.66,2273,0.9166666666666669,0.725
A13-18-PK34,131834,1800mm,13.93m,13.99m,10.93,2754,0.34,0.8250000000000001
A12-18-PK34,121834,1800mm,13.83m,13.91m,10.83,2511,0.6799999999999999,1
A11-18-PK34,111834,1800mm,13.83m,13.83m,10.83,2393,0.7,0.8
A10-18-PK34,101834,1800mm,13.74m,13.74m,10.74,2451,0.72,0.8250000000000001
A9-18-PK34,91834,1800mm,13.63m,13.63m,10.63,2304,0.4,0.75
A8-18-PK34,81834,1800mm,13.54m,13.54m,10.54,2310,0.4,1.1
A7-18-PK34,71834,1800mm,13.91m,13.92m,10.91,2412,0.4999999999999999,0.58
A6-18-PK34,61834,1800mm,13.90m,13.91m,10.9,2491,0.4,0.75
A5-18-PK34,51834,1800mm,13.76m,13.76m,13.76,2441,0.39999999999999997,0.725
A4-18-PK34,41834,1800mm,13.71m,13.72m,10.71,2306,0.38,0.75
A3-18-PK34,31834,1800mm,13.62m,13.63m,10.62,2335,0.4,0.7
A2-18-PK34,21834,1800mm,13.65m,13.65m,10.65,2397,0.4,0.7
A26-18-PK34,2618,1800mm,13.74m,13.75m,10.74,2124,0.4,0.8
A25-18-PK34,2518,1800mm,13.66m,13.66m,10.66,2489,0.38,0.7
A24-18-PK34,2418,1800mm,13.68m,13.68m,10.68,2361,0.4,0.75
A23-18-PK34,2318,1800mm,13.65m,13.65m,10.65,2400,0.38,0.75
A22-18-PK34,2218,1800mm,13.53m,13.53m,10.53,2415,0.4,0.675
A20-18-PK34,2018,1800mm,13.84m,13.85m,10.84,2437,0.8799999999999999,0.75
19-18-PK34,1918,1800mm,13.83m,13.83m,10.83,2325,1.1400000000000001,0.675
A18-18-PK34,1818,1800mm,13.85m,13.85m,10.85,2260,1.1600000000000001,0.8
A17-18-PK34,1718,1800mm,13.76m,13.76m,10.76,2321,1.0800000000000003,0.725
A16-18-PK34,1618,1800mm,13.77m,13.77m,10.77,2283,0.9166666666666669,0.725
A14-18-PK34,1418,1800mm,"13,58m","13,58m",10.58,2490,0.5,0.75
